Store Name,Address,Location,Timings,Phone,store_url,store_code
Vizianagaram,"20-20-103, Plot No103, Madhuvan Towers, Krishnarajapuram, Near Spencers, Vizianagaram, Andhra Pradesh, 535002",Andhra-Pradesh,11:00 AM to 09:00 PM,91 9319374906,/stores/lenskart-com-vizianagaram-krishnarajapuram-vizianagaram-868774/Home,ST379
Ramnagar,"Shop No 10/4/16/2, Upper Ground Floor, Uplands Road, Asilmetta Junction, Ramnagar, Beside Hotel Meghalaya, Visakhapatnam, Andhra Pradesh, 530003",Andhra-Pradesh,11:00 AM to 09:30 PM,91 7428890015,/stores/optometrist-sunglasses-ramnagar-visakhapatnam-61143/Home,LKST968
Kakinada,"20-1-34, Subash Road, Opposite Super Bazar, Kakinada, Andhra Pradesh, 533001",Andhra-Pradesh,11:00 AM to 09:00 PM,91 8447732252,/stores/lenskart-com-kakinada-opposite-super-bazar-kakinada-424309/Home,ST436
Eluru,"24B-1-46/1, Vijaya Vihar Centre, Vijaya Vihar Centre, Opposite Gv Mall, Eluru, Andhra Pradesh, 534002",Andhra-Pradesh,11:00 AM to 09:00 PM,91 9319369743,/stores/lenskart-com-eluru-vijaya-vihar-centre-eluru-60677/Home,ST346
Shanthi Nagar,"Shop No 23/7/131, Shanthi Nagar, Mr Palli Circle, Tirupati, Andhra Pradesh, 517502",Andhra-Pradesh,11:00 AM to 09:00 PM,91 7428890044,/stores/optometrist-sunglasses-shanthi-nagar-chittoor-61278/Home,ST44
Tadepalle Vijayawada,"Ground Floor, Mother Teresa Plaza, D No 12-455/20, NH 16 Service Road, Beside Ramachandra Furniture, Tadepalle, Kunchanapalli, Vijayawada, Andhra Pradesh, 522501",Andhra-Pradesh,10:30 AM to 09:30 PM,91 9643806942,/stores/lenskart-com-tadepalle-vijayawada-tadepalle-vijayawada-168473/Home,LKST2263
Gajuwaka,"10-1-128/7, 60 Feet Wide Road, Mehar Nagar, Gajuwaka, Visakhapatnam, Andhra Pradesh, 530026",Andhra-Pradesh,11:00 AM to 09:30 PM,91 8929176131,/stores/lenskart-com-gajuwaka-gajuwaka-visakhapatnam-560561/Home,LKST1301
Brodipet,"45029, Brodipet, Brodipet, Opposite Vajram Hotel, Guntur, Andhra Pradesh, 522002",Andhra-Pradesh,11:00 AM to 09:00 PM,91 8929342562,/stores/lenskart-com-brodipet-brodipet-guntur-989277/Home,ST485
Nandyal Road Kurnool,"D No 87/1133, Nandyal Road, Sree Rajeswari Nagar, Sree Rajeswari Nagar, Kurnool, Andhra Pradesh, 518002",Andhra-Pradesh,11:00 AM to 09:00 PM,91 9667268269,/stores/lenskart-com-nandyal-road-kurnool-sree-rajeswari-nagar-kurnool-691490/Home,ST425
Satyanarayanapuram,"21-3-7, Bagath Singh Road, Govt Press, Mutyalampadu Vijayawada, Satyanarayanapuram, Andhra Pradesh, 520011",Andhra-Pradesh,10:30 AM to 09:30 PM,91 7065311596,/stores/lenskart-com-satyanarayanapuram-mutyalampadu-vijayawada-satyanarayanapuram-540326/Home,LKST1801
Gopalapatnam Visakhapatnam,"Ground Floor, 9-45/2,3, Narasimha Nagar, Beside Pizza Hut, Gopalapatnam, Revenue Ward 68, Visakhapatnam, Andhra Pradesh, 530027",Andhra-Pradesh,10:30 AM to 09:30 PM,91 7032190760,/stores/lenskart-com-gopalapatnam-visakhapatnam-gopalapatnam-visakhapatnam-584485/Home,LKST2305
Guru Nanak Colony,"59A-20-2, Survey No 134/6, Extent 443.33, South Plot No 29, East Plot No 23 West, Plot No 21, Guru Nanak Colony, Vijayawada, Andhra Pradesh, 520007",Andhra-Pradesh,10:30 AM to 09:30 PM,91 9540358921,/stores/lenskart-com-guru-nanak-colony-guru-nanak-colony-vijayawada-645232/Home,LKST1721
Vijayawada,"H No 27-1-86, Satya, Estates, Muddha Subaiah Street, Lenin Center, Governpet, Elur Road, Patamata, Near Ntr Circle, Vijayawada, Andhra Pradesh, 520010",Andhra-Pradesh,10:30 AM to 09:30 PM,91 9582579257,/stores/lenskart-com-vijayawada-patamata-vijayawada-748414/Home,LKST1665
Tenali,"Ground Floor, Old Badari Shop, Bose Road, Tenali, Andhra Pradesh, 522201",Andhra-Pradesh,11:00 AM to 09:00 PM,91 8588807298,/stores/lenskart-com-tenali-bose-road-tenali-40178/Home,ST461
VV Mahal Road,"Door No 18/1/635, Ground Floor Bhavani Nagar, V V Mahal Road, Near Municipal Office, Tirupati, Andhra Pradesh, 517501",Andhra-Pradesh,11:00 AM to 09:00 PM,91 9319374825,/stores/lenskart-com-vv-mahal-road-bhavani-nagar-tirupati-693399/Home,ST385
"MG Road, Vijayawada","Shop No 40/1/50, Gvr Complex, Chandramouli Puram, Mg Road, Opposite M&M, Vijayawada, Andhra Pradesh, 520010",Andhra-Pradesh,11:00 AM to 09:30 PM,91 7428890138,/stores/optometrist-sunglasses-chandramouli-puram-vijayawada-61134/Home,ST138
Tirumala Bypass Tirupati,"Ground Floor, 20-3-125/A, American Towers, Sanjay Gandhi Colony, Srinivasa Nagar, Korlagunta, Tirumala Bypass, Tirupati, Andhra Pradesh, 517501",Andhra-Pradesh,11:00 AM to 09:30 PM,91 8774005645,/stores/lenskart-com-tirumala-bypass-tirupati-tirumala-bypass-tirupati-484529/Home,LKST2228
Butchirajupalem NAD Junction,"D No 58/1/373, Ground Floor, Main Road, Butchirajupalem Nad Junction, Near St. Thomas Church, Visakhapatnam, Andhra Pradesh, 530027",Andhra-Pradesh,11:00 AM to 09:30 PM,91 7428890147,/stores/optometrist-sunglasses-butchirajupalem-nad-junction-visakhapatnam-61140/Home,LKST1162
Seetarapuram,"DNo 143, Revenue Ward 9, Municipal Ward No 23, 262, Assesment No 23029 A, Gunadala Krishana, Seetaraampuram, Elur Road, Vijayawada, Andhra Pradesh, 520002",Andhra-Pradesh,10:30 AM to 09:30 PM,91 8447021901,/stores/lenskart-com-seetarapuram-elur-road-vijayawada-700721/Home,LKST1899
R S Road,"Shop No 40/581/A, Sv Complex, Rs Road, Prakash Nagar, Opposite Tj Shopping Mall, Kurnool, Andhra Pradesh, 518004",Andhra-Pradesh,11:00 AM to 09:00 PM,91 7428890157,/stores/optometrist-sunglasses-r-s-road-kurnool-61150/Home,ST157
